major,degfieldd_s,Top3_share,HHI,MOS
1100,general agriculture,0.337983513,0.070052261,0.301747919
1101,agriculture production and management,0.323485415,0.065576769,0.308192965
1102,agricultural economics,0.413441955,0.088372788,0.325248965
1103,animal sciences,0.340803383,0.062186485,0.385883203
1104,food science,0.277472527,0.0501751,0.418706416
1105,plant science and agronomy,0.344694036,0.063086457,0.266136207
1199,miscellaneous agriculture,0.299145299,0.052231719,0.465475805
1301,environmental science,0.279331405,0.037769878,0.40396831
1302,forestry,0.389095415,0.089248506,0.248199468
1303,natural resources management,0.252805986,0.035494928,0.319537799
1401,architecture,0.529400158,0.121329321,0.363396435
1501,"area, ethnic, and civilization studies",0.239864865,0.038546217,0.736700322
1901,communications,0.260184824,0.043692738,0.804679218
1902,journalism,0.365367965,0.075863396,0.849645637
1903,mass media,0.220366673,0.041257032,0.658203984
1904,advertising and public relations,0.32063306,0.056225558,0.758062795
2001,communication technologies,0.374248497,0.071178429,0.488090349
2100,computer and information systems,0.623287671,0.284258172,0.213622642
2101,computer programming and data processing,0.593283582,0.293230675,0.355698538
2102,computer science,0.702095808,0.390009876,1.00E-05
2105,information sciences,0.602242152,0.239829074,0.287176599
2106,computer information management and security,0.566447368,0.224959314,0.227712833
2107,computer networking and telecommunications,0.382594417,0.089749812,0.43601062
2201,cosmetology services and culinary arts,0.488267148,0.108827823,0.492883147
2300,general education,0.648664688,0.349853425,0.762392317
2304,elementary education,0.746899073,0.48889418,1.00001
2305,mathematics teacher education,0.72875817,0.454694538,0.690458716
2306,physical and health education teaching,0.507986111,0.190065345,0.473558983
2307,early childhood education,0.733290898,0.406841296,0.881422356
2308,science  and computer teacher education,0.692810458,0.412309368,0.377394788
2309,secondary teacher education,0.657255788,0.367819768,0.62094312
2310,special needs education,0.761550717,0.508597624,0.81277201
2311,social science or history teacher education,0.574263379,0.253604593,0.67493479
2312,teacher education:  multiple levels,0.783742331,0.541725084,0.809899842
2313,language and drama education,0.658385093,0.358691372,0.912268185
2314,art and music education,0.670795306,0.386732966,0.76849819
2399,miscellaneous education,0.47068819,0.136476606,0.382156724
2400,general engineering,0.553360381,0.136592662,0.142410266
2401,aerospace engineering,0.658878505,0.245590348,0.153733589
2402,biological engineering,0.491856678,0.120510562,0.221538913
2403,architectural engineering,0.637982196,0.203550265,0.099803918
2404,biomedical engineering,0.469002695,0.100239028,0.322962962
2405,chemical engineering,0.6056899,0.230619596,0.069521682
2406,civil engineering,0.726715503,0.302563874,0.084054941
2407,computer engineering,0.721173672,0.348347453,0.05506531
2408,electrical engineering,0.675902965,0.20352774,0.006560803
2409,"engineering mechanics, physics, and science",0.51590106,0.129118855,0.115841871
2410,environmental engineering,0.587804878,0.192575848,0.256194715
2412,industrial and manufacturing engineering,0.508121616,0.130053926,0.204141338
2413,materials engineering and materials science,0.577348066,0.214950704,0.152761727
2414,mechanical engineering,0.680976569,0.291741404,0.108582158
2416,mining and mineral engineering,0.653225806,0.223855359,0.118749046
2417,naval architecture and marine engineering,0.518518519,0.155062848,0.113456389
2418,nuclear engineering,0.477011494,0.131259083,0.201420236
2419,petroleum engineering,0.731638418,0.439752306,0.140774042
2499,miscellaneous engineering,0.497093023,0.106714144,0.148375017
2500,engineering technologies,0.43758967,0.088752987,0.196092874
2501,engineering and industrial management,0.349570201,0.061994565,0.218933906
2502,electrical engineering technology,0.527595884,0.126751788,0.185241354
2503,industrial production technologies,0.376827897,0.070281569,0.179861599
2504,mechanical engineering related technologies,0.52532391,0.156163768,0.2284631
2599,miscellaneous engineering technologies,0.395171537,0.064101529,0.134771571
2601,linguistics and comparative language and literature,0.210065646,0.035226408,0.650133066
2602,"french, german, latin and other common foreign language studies",0.31212485,0.05138494,0.750726408
2603,other foreign languages,0.221105528,0.035731421,0.632831961
2901,family and consumer sciences,0.357687302,0.064950588,0.869704749
3202,pre-law and legal studies,0.393396226,0.101648273,0.624492308
3301,english language and literature,0.249325763,0.042071777,0.842030578
3302,composition and speech,0.254324151,0.042628188,0.749873818
3401,liberal arts,0.260202261,0.040130429,0.631921162
3402,humanities,0.203358209,0.035378147,0.652679091
3600,biology,0.220216606,0.03525973,0.454952383
3601,biochemical sciences,0.292297564,0.047249217,0.328799211
3603,molecular biology,0.254934211,0.045257315,0.38173936
3604,ecology,0.216617211,0.032756396,0.399784124
3605,genetics,0.386554622,0.070828331,0.291737058
3606,microbiology,0.303684879,0.051441063,0.369034976
3608,physiology,0.266953714,0.04047664,0.60265092
3609,zoology,0.276559865,0.04248839,0.45914733
3611,neuroscience,0.223650386,0.037132982,0.527595961
3699,miscellaneous biology,0.2436751,0.040664822,0.378102894
3700,mathematics,0.378471425,0.069370798,0.284467825
3701,applied mathematics,0.403381643,0.089418656,0.338058008
3702,statistics and decision science,0.426934097,0.08122265,0.440776449
4000,interdisciplinary and multi-disciplinary studies (general),0.429471033,0.113943366,0.702597169
4001,intercultural and international studies,0.247183565,0.038158063,0.664289974
4002,nutrition sciences,0.425699301,0.104722419,0.65945798
4006,cognitive science and biopsychology,0.374407583,0.071179893,0.523480331
4007,interdisciplinary social sciences,0.286985539,0.047041516,0.66609909
4101,"physical fitness, parks, recreation, and leisure",0.237867149,0.035493711,0.518784
4801,philosophy and religious studies,0.219332049,0.033472634,0.629353798
4901,theology and religious vocations,0.386754139,0.089488495,0.392689317
5002,atmospheric sciences and meteorology,0.452662722,0.122562235,0.516184594
5003,chemistry,0.350657109,0.071055992,0.316137568
5004,geology and earth science,0.375467464,0.07659061,0.372144388
5005,geosciences,0.338235294,0.052119377,0.334896061
5006,oceanography,0.230366492,0.038677668,0.381606865
5007,physics,0.36744186,0.0618833,0.2451947
5008,materials science,0.580786026,0.212677104,0.059439104
5098,multi-disciplinary or general science,0.211534414,0.033244682,0.394618351
5102,"nuclear, industrial radiology, and biological technologies",0.720930233,0.379292861,0.457415532
5200,psychology,0.269971276,0.042414418,0.796950154
5201,educational psychology,0.588235294,0.221837755,0.714290547
5202,clinical psychology,0.248,0.04192,0.770800269
5203,counseling psychology,0.380530973,0.088378103,0.736967233
5205,industrial and organizational psychology,0.353413655,0.07211174,0.600690638
5299,miscellaneous psychology,0.240066225,0.037514802,0.705789855
5301,criminal justice and fire protection,0.369937618,0.076878364,0.400604535
5401,public administration,0.246527778,0.039870274,0.618176037
5402,public policy,0.287833828,0.047733096,0.627750827
5403,human services and community organization,0.388071895,0.074608057,0.734780325
5404,social work,0.572926375,0.231168285,0.864046043
5500,general social sciences,0.25607064,0.039591614,0.632214854
5501,economics,0.345928505,0.065005498,0.517690599
5502,anthropology and archeology,0.207917129,0.031498825,0.583726192
5503,criminology,0.337902265,0.060986247,0.466224682
5504,geography,0.288634098,0.041859466,0.283171512
5505,international relations,0.273837209,0.044401704,0.657659455
5506,political science and government,0.248813961,0.040678665,0.601442041
5507,sociology,0.283846687,0.043892819,0.75185225
5599,miscellaneous social sciences,0.266932271,0.044935795,0.543329706
5601,construction services,0.629441624,0.242366059,0.132247916
5701,electrical and mechanic repairs and technologies,0.305993691,0.061767955,0.254466251
5901,transportation sciences and technologies,0.468023256,0.158001153,0.277989399
6000,fine arts,0.298589043,0.056382881,0.663353098
6001,drama and theater arts,0.24196319,0.038366337,0.679949128
6002,music,0.255908331,0.039844319,0.6122434
6003,visual and performing arts,0.238793806,0.0430367,0.847536055
6004,commercial art and graphic design,0.540319556,0.200784449,0.579302317
6005,"film, video and photographic arts",0.293806247,0.049336789,0.61365295
6006,art history and criticism,0.255547602,0.044044171,0.795269684
6007,studio arts,0.252552391,0.044146933,0.57229144
6099,miscellaneous fine arts,0.319290466,0.053003673,0.490110506
6100,general medical and health services,0.29047619,0.046900703,0.718085864
6102,communication disorders sciences and services,0.33836858,0.060945247,0.824417851
6103,health and medical administrative services,0.293663688,0.053588221,0.691509015
6104,medical assisting services,0.823529412,0.342692339,0.777250888
6105,medical technologies technicians,0.721297482,0.35173706,0.475434745
6106,health and medical preparatory programs,0.295681063,0.046147394,0.501588913
6107,nursing,0.885252268,0.709490144,0.895452906
6108,"pharmacy, pharmaceutical sciences, and administration",0.57635468,0.207718581,0.53962259
6109,treatment therapy professions,0.519305597,0.183321939,0.682613071
6110,community and public health,0.25549806,0.039430722,0.576576827
6199,miscellaneous health medical professions,0.484359233,0.117160397,0.779455894
6200,general business,0.266716086,0.044575923,0.455971792
6201,accounting,0.653709904,0.320110113,0.611584795
6202,actuarial science,0.656804734,0.241290571,0.573124948
6203,business management and administration,0.280804588,0.048313991,0.489279873
6204,"operations, logistics and e-commerce",0.37437604,0.069123409,0.332588258
6205,business economics,0.387323944,0.077278318,0.554817223
6206,marketing and marketing research,0.301201149,0.057316265,0.726083516
6207,finance,0.436155175,0.105533098,0.604853998
6209,human resources and personnel management,0.465385889,0.117980953,0.576270607
6210,international business,0.286396181,0.050905839,0.633454197
6211,hospitality management,0.353538832,0.067056621,0.773204789
6212,management information systems and statistics,0.561455996,0.180508028,0.157022601
6299,miscellaneous business and medical administration,0.258211679,0.044659329,0.493672622
6402,history,0.235930736,0.035403946,0.566418847
6403,united states history,0.211055276,0.034418323,0.607506309